ticker,has_pt,has_rev,has_ni,has_quote,rec_index,pt_age_days,reason_missing_growth,reason_missing_rec
TIGO,True,False,False,True,50.0,0,FMP_no_data,
SPOT,True,False,False,True,44.56521739130435,0,FMP_no_data,
ASTS,True,False,False,True,41.1764705882353,0,FMP_no_data,
EA,True,False,False,True,40.0,0,FMP_no_data,
BIDU,True,True,True,True,42.10526315789474,0,,
BILI,True,True,True,True,54.285714285714285,0,,
PSKY,True,False,False,True,-25.806451612903224,0,FMP_no_data,
WBD,True,False,False,True,37.096774193548384,0,FMP_no_data,
URBN,True,False,False,True,39.473684210526315,0,FMP_no_data,
GAP,True,False,False,True,26.08695652173913,0,FMP_no_data,
DKNG,True,False,False,True,57.142857142857146,0,FMP_no_data,
FIVE,True,False,False,True,32.758620689655174,0,FMP_no_data,
VFC,True,False,False,True,21.428571428571427,0,FMP_no_data,
RCL,True,False,False,True,53.125,0,FMP_no_data,
FLUT,True,False,False,True,56.89655172413793,0,FMP_no_data,
CHWY,True,False,False,True,45.945945945945944,0,FMP_no_data,
RIVN,True,True,True,True,20.27027027027027,0,,
DKS,True,False,False,True,31.666666666666668,0,FMP_no_data,
LULU,True,False,False,True,34.61538461538461,0,FMP_no_data,
MBLY,True,False,False,True,34.285714285714285,0,FMP_no_data,
EAT,True,False,False,True,27.083333333333332,0,FMP_no_data,
BBY,True,False,False,True,20.3125,0,FMP_no_data,
WSM,True,False,False,True,28.571428571428573,0,FMP_no_data,
LCID,True,True,True,True,-14.285714285714286,0,,
VIK,True,False,False,True,50.0,0,FMP_no_data,
CZR,True,False,False,True,47.82608695652174,0,FMP_no_data,
WHR,True,False,False,True,-13.88888888888889,0,FMP_no_data,
WH,True,False,False,True,63.04347826086956,0,FMP_no_data,
CCL,True,True,True,True,,0,,FH_no_data_or_429
BROS,True,False,False,True,62.0,0,FMP_no_data,
W,True,False,False,True,38.095238095238095,0,FMP_no_data,
MTH,True,False,False,True,37.5,0,FMP_no_data,
LTH,True,False,False,True,56.666666666666664,0,FMP_no_data,
GLBE,True,False,False,True,52.5,0,FMP_no_data,
STLA,True,False,False,True,19.11764705882353,0,FMP_no_data,
CUK,True,False,False,True,58.8235294117647,0,FMP_no_data,
YUMC,True,False,False,True,60.0,0,FMP_no_data,
SGHC,True,False,False,True,61.53846153846154,0,FMP_no_data,
KMX,True,False,False,True,47.82608695652174,0,FMP_no_data,
GIL,True,False,False,True,54.166666666666664,0,FMP_no_data,
BIRK,True,False,False,True,64.0,0,FMP_no_data,
TOL,True,False,False,True,47.72727272727273,0,FMP_no_data,
BBWI,True,False,False,True,52.38095238095238,0,FMP_no_data,
SGI,True,False,False,True,50.0,0,FMP_no_data,
MGM,True,True,True,True,42.592592592592595,0,,
LVS,True,False,False,True,47.82608695652174,0,FMP_no_data,
JD,True,False,False,True,61.111111111111114,0,FMP_no_data,
ROST,True,False,False,True,56.0,0,FMP_no_data,
TMHC,True,False,False,True,56.25,0,FMP_no_data,
LEN,True,False,False,True,22.916666666666668,0,FMP_no_data,
HAS,True,False,False,True,66.66666666666667,0,FMP_no_data,
WYNN,True,False,False,True,52.0,0,FMP_no_data,
FND,True,False,False,True,28.571428571428573,0,FMP_no_data,
LKQ,True,False,False,True,50.0,0,FMP_no_data,
